system:index,grid_id,latitude,longitude,ndvi,.geo
00000000000000000000,HYD_0001,17.60310185050841,78.4171491484952,0.20851146227048137,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,HYD_0002,17.603224481347986,78.42656454231273,0.2637206893615532,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,HYD_0003,17.60334745656284,78.435981029435,0.3750541946259899,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,HYD_0004,17.60346936131066,78.44539642811792,0.4299550173755528,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,HYD_0005,17.60359047340871,78.45481181634253,0.3600554088845067,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,HYD_0006,17.6037105182521,78.46422834984592,0.41081616423893264,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,HYD_0007,17.6038305571507,78.47364484484892,0.36378393279410115,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,HYD_0008,17.603951674243344,78.4830602312184,0.3671824818827836,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,HYD_0009,17.604071687934944,78.49247675129256,0.47917662400775124,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,HYD_0010,17.593822417779542,78.39844768082557,0.40372001719779693,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,HYD_0011,17.593947660531015,78.4078619228333,0.4360563165368155,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,HYD_0012,17.594071816822737,78.41727733715226,0.37757482847679974,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,HYD_0013,17.5941951447282,78.42669272012233,0.3417990339554366,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,HYD_0014,17.59431594378316,78.43610852026363,0.3623854085875468,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,HYD_0015,17.594439269077416,78.44552312307432,0.3947493922622047,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,HYD_0016,17.59456008822091,78.45493895685699,0.4935249674936263,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,HYD_0017,17.594681168929238,78.46435430402002,0.4077880248818301,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,HYD_0018,17.59480122703116,78.47377079564716,0.37459445929162216,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,HYD_0019,17.594921637501177,78.4831862204628,0.3526511141217187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,HYD_0020,17.595042019862355,78.49260162725574,0.3611450365501309,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,HYD_0021,17.59516167446683,78.50201850581078,0.40092942028200906,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,HYD_0022,17.595279102188247,78.51143310122376,0.4667247162300249,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,HYD_0023,17.595398718031092,78.52084999854905,0.45966774752168327,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,HYD_0024,17.59551723656233,78.53026650965616,0.4118899222000788,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,HYD_0025,17.584670129910307,78.38916159718804,0.36831455864553353,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,HYD_0026,17.58479275643347,78.39857701841981,0.32870641213851703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,HYD_0027,17.584917608544835,78.40799017373814,0.37442765517831583,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,HYD_0028,17.585042466844783,78.41740554019343,0.3100329069935873,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,HYD_0029,17.585165091913517,78.42682094005409,0.3157315572725791,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,HYD_0030,17.585285871873864,78.43623520546771,0.3707800081234207,"{""type"":""MultiPoint"",""coordinates"":[]}"
