system:index,distance_to_road_m,grid_id,latitude,longitude,.geo
0000000000000000002f,287.44537116541585,HYD_0048,17.576012035403892,78.41753413684448,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,69.76155298061244,HYD_0049,17.576134292384424,78.42694766496187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,713.574098489395,HYD_0050,17.576255476864265,78.43636231729874,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,907.0951781410384,HYD_0051,17.57637880885358,78.44577767661619,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,1159.339153155687,HYD_0052,17.576501070969723,78.45519196144232,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,1093.935173958101,HYD_0053,17.57662112838026,78.46460627763643,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,378.54224707506944,HYD_0054,17.576742238610038,78.47402164446211,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,565.3354484646454,HYD_0055,17.576862263815176,78.48343595102892,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,190.2408926417658,HYD_0056,17.57698155561611,78.49285172084367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,47.60617336477351,HYD_0057,17.57709970152834,78.5022663367129,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,788.3353450601795,HYD_0058,17.577219338640802,78.51168099803705,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,169.07684137749098,HYD_0059,17.57733680967052,78.5210963889751,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,823.4862235387601,HYD_0060,17.577455666362706,78.53051174740453,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,1394.0540002930431,HYD_0061,17.57757348250577,78.53992600922149,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,1358.191311468829,HYD_0062,17.577689423716023,78.5493414079902,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,956.2655218719971,HYD_0063,17.57780535424635,78.55875682661879,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,514.337238006031,HYD_0064,17.57792129283025,78.56817221188997,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,456.5664760383575,HYD_0065,17.578037249137036,78.57758761692354,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,318.7989558050309,HYD_0066,17.578153180094557,78.58700300696319,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,426.2137780706709,HYD_0067,17.578268353832513,78.59641990186236,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,948.5462991105093,HYD_0068,17.578381339703657,78.60583451242371,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,1345.9317837167328,HYD_0069,17.565857175802567,78.33294123194425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,1830.6885290896264,HYD_0070,17.565984256590287,78.34235441277227,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,2580.1940267870323,HYD_0071,17.56610912455833,78.35176756863382,"{""type"":""MultiPoint"",""coordinates"":[]}"
