system:index,grid_id,latitude,longitude,nighttime_lights,.geo
0000000000000000002f,HYD_0048,17.576012035403892,78.41753413684448,47.20856740858671,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,HYD_0049,17.576134292384424,78.42694766496187,37.01096748702417,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,HYD_0050,17.576255476864265,78.43636231729874,19.49271089575264,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,HYD_0051,17.57637880885358,78.44577767661619,9.75035463902019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,HYD_0052,17.576501070969723,78.45519196144232,6.647279975566077,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,HYD_0053,17.57662112838026,78.46460627763643,8.489337538958488,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,HYD_0054,17.576742238610038,78.47402164446211,15.562347733572631,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,HYD_0055,17.576862263815176,78.48343595102892,21.097434728138907,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,HYD_0056,17.57698155561611,78.49285172084367,28.03318377579447,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,HYD_0057,17.57709970152834,78.5022663367129,20.396072874811058,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,HYD_0058,17.577219338640802,78.51168099803705,16.56951944070546,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,HYD_0059,17.57733680967052,78.5210963889751,11.926122178289527,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,HYD_0060,17.577455666362706,78.53051174740453,6.551215405833678,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,HYD_0061,17.57757348250577,78.53992600922149,5.968027090848383,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,HYD_0062,17.577689423716023,78.5493414079902,6.941286476281836,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,HYD_0063,17.57780535424635,78.55875682661879,9.375032676764768,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,HYD_0064,17.57792129283025,78.56817221188997,18.754322576656893,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,HYD_0065,17.578037249137036,78.57758761692354,18.43481908637819,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,HYD_0066,17.578153180094557,78.58700300696319,11.67375464385815,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,HYD_0067,17.578268353832513,78.59641990186236,9.81275079755801,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,HYD_0068,17.578381339703657,78.60583451242371,7.609343799119143,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,HYD_0069,17.565857175802567,78.33294123194425,21.726727660675625,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,HYD_0070,17.565984256590287,78.34235441277227,17.0849093891283,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,HYD_0071,17.56610912455833,78.35176756863382,17.554906303070013,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,HYD_0072,17.566236224578997,78.361180744498,22.54439941269886,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,HYD_0073,17.566488503043363,78.38000817905987,16.64582352598099,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,HYD_0074,17.566610782355408,78.38942248684701,15.39514749862728,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,HYD_0075,17.566733386881264,78.39883562599661,15.204639134782084,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,HYD_0076,17.566858254068503,78.40824877955703,14.710901708393305,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,HYD_0077,17.566980894543462,78.41766194666175,17.936630992657022,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,HYD_0078,17.567103507961328,78.42707510291777,19.932237134431166,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,HYD_0079,17.567226491349537,78.4364893740968,23.45871337954978,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,HYD_0080,17.56734876266658,78.44590364553699,18.46773691888018,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,HYD_0081,17.56747102475775,78.4553179786137,12.76509064330415,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,HYD_0082,17.5675921527289,78.46473334083542,17.68353041176484,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,HYD_0083,17.567712215961233,78.47414762352567,23.2664633511604,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,HYD_0084,17.567832570838934,78.48356076494143,22.23938159352725,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,HYD_0085,17.56795108015855,78.4929750369072,28.771055480062746,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,HYD_0086,17.56806853915573,78.50239044768749,17.817246576634847,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,HYD_0087,17.568189292262396,78.51180472591675,12.974730310198739,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,HYD_0088,17.56830783131908,78.52121897686234,12.11742259145454,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,HYD_0089,17.568424535007587,78.53063362827326,9.356732520698943,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,HYD_0090,17.568542311148146,78.54004714337353,8.53418179447516,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,HYD_0091,17.56866009500062,78.54946291052075,11.25262439373842,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,HYD_0092,17.568775695776676,78.5588772161333,14.963436120446582,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,HYD_0093,17.568891628486714,78.56829261289414,12.490189900885369,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,HYD_0094,17.56900755604992,78.57770799068616,9.844408790196214,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,HYD_0095,17.569122392308543,78.58712377817756,8.844563141287956,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,HYD_0096,17.569236077964913,78.59653842281168,6.339378464065396,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,HYD_0097,17.569351251688452,78.60595306123679,6.814726065160632,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,HYD_0098,17.569464262273204,78.6153684611338,7.453208230002513,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,HYD_0099,17.569577579180667,78.62478424105198,5.8221188657345815,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,HYD_0100,17.556189880329654,78.28600920863883,15.180254508287481,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,HYD_0101,17.556318035856094,78.29542197860081,12.510376965062001,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,HYD_0102,17.556445143590437,78.30483590891266,13.722783214590523,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,HYD_0103,17.556573335463327,78.31424871290127,15.606040432169378,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,HYD_0104,17.556700788481166,78.32366073429992,13.279821450020368,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,HYD_0105,17.556827522043626,78.33307279269816,17.50071047841944,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,HYD_0106,17.556954604521994,78.34248595391533,29.43767345978527,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,HYD_0107,17.55708056161127,78.3518987492598,29.505441683491775,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,HYD_0108,17.557207662160287,78.36131268513476,33.82515396282314,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,HYD_0109,17.557333594297184,78.37072544338761,35.28688316100458,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,HYD_0110,17.557458471951886,78.38013861373143,25.681203199236577,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,HYD_0111,17.557581094632745,78.38955176871904,18.49426303610164,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,HYD_0112,17.557703733315257,78.39896493336282,19.268375353866745,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,HYD_0113,17.557828604068828,78.40837808285534,16.13470894999727,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,HYD_0114,17.557951219857,78.41779124409129,11.343882723399828,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,HYD_0115,17.55807382354184,78.42720442586398,15.062078185470282,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,HYD_0116,17.558196436413176,78.43661757418121,26.88736899589532,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,HYD_0117,17.55831796647466,78.44603112649952,20.025175973270716,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,HYD_0118,17.55844093271277,78.45544461673168,16.10263462153744,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,HYD_0119,17.558562115484758,78.46485931712593,19.009355494991688,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,HYD_0120,17.55868252458045,78.47427244828356,16.618443507826736,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,HYD_0121,17.558801797171796,78.48368597251938,21.664539325560664,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,HYD_0122,17.55891991338633,78.49309838708598,27.84884812098791,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,HYD_0123,17.559039561090113,78.5025130584123,15.238281461436141,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,HYD_0124,17.559158142823172,78.51192885506146,8.87155098544177,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,HYD_0125,17.559276662903933,78.52134233614284,8.507356957691474,"{""type"":""MultiPoint"",""coordinates"":[]}"
