system:index,built_up_density,grid_id,latitude,longitude,.geo
00000000000000000029,0.07196344605151409,HYD_0042,17.58671874469317,78.5492199268524,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,0.04883102753635805,HYD_0043,17.586836514912747,78.55863569362371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,0.021142417773490428,HYD_0044,17.5755174485385,78.37987663380144,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,0.11415352116764638,HYD_0045,17.575640820638455,78.38929202888433,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,0.025287678943152144,HYD_0046,17.575763083636765,78.39870631848574,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,0.040584190175619685,HYD_0047,17.57588792526824,78.40811948385753,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,0.30198438847028375,HYD_0048,17.576012035403892,78.41753413684448,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,0.5832276370478884,HYD_0049,17.576134292384424,78.42694766496187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,0.09551777641396068,HYD_0050,17.576255476864265,78.43636231729874,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,0.0,HYD_0051,17.57637880885358,78.44577767661619,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,0.0,HYD_0052,17.576501070969723,78.45519196144232,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,0.017108668516104937,HYD_0053,17.57662112838026,78.46460627763643,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,0.13758264497412506,HYD_0054,17.576742238610038,78.47402164446211,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,0.24108484999646362,HYD_0055,17.576862263815176,78.48343595102892,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,0.35696376944217517,HYD_0056,17.57698155561611,78.49285172084367,"{""type"":""MultiPoint"",""coordinates"":[]}"
