date,station_id,station_name,ground_no2_mean,valid_readings,total_readings,coverage_percent
2025-02-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",13.140449438202246,89,96,92.70833333333334
2025-02-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",18.085869565217394,92,96,95.83333333333334
2025-02-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",18.876543209876544,81,96,84.375
2025-02-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",19.163440860215054,93,96,96.875
2025-02-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",20.475268817204302,93,96,96.875
2025-02-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",17.268817204301076,93,96,96.875
2025-02-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.455913978494625,93,96,96.875
2025-02-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.207526881720433,93,96,96.875
2025-02-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",35.41234567901235,81,96,84.375
2025-03-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",23.264,75,96,78.125
2025-03-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.304347826086957,92,96,95.83333333333334
2025-03-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",32.778260869565216,92,96,95.83333333333334
2025-03-04,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",35.79871794871795,78,96,81.25
2025-03-05,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",34.958441558441564,77,96,80.20833333333334
2025-03-06,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",27.254945054945054,91,96,94.79166666666666
2025-03-07,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",28.125,76,96,79.16666666666666
2025-03-08,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",23.701176470588234,85,96,88.54166666666666
2025-03-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",,67,96,69.79166666666666
2025-03-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",26.7,93,96,96.875
2025-03-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",31.637634408602153,93,96,96.875
2025-03-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",30.101075268817205,93,96,96.875
2025-03-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",24.37956989247312,93,96,96.875
2025-03-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",31.2,93,96,96.875
