date,station_id,station_name,grid_id,latitude,longitude,ground_no2_mean,valid_readings,coverage_percent
2025-02-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,3.811363636363636,88,91.66666666666666
2025-02-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,4.8675,80,83.33333333333334
2025-02-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,71,73.95833333333334
2025-02-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,3.6386666666666665,75,78.125
2025-02-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,5.174698795180723,83,86.45833333333334
2025-02-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,8.923529411764706,85,88.54166666666666
2025-02-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,27.122368421052634,76,79.16666666666666
2025-02-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,20.98051948051948,77,80.20833333333334
2025-02-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,9.701149425287356,87,90.625
2025-02-18,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,8.60897435897436,78,81.25
2025-02-19,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,13.305,80,83.33333333333334
2025-02-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,13.140449438202246,89,92.70833333333334
2025-02-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,18.085869565217397,92,95.83333333333334
2025-02-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,18.876543209876544,81,84.375
2025-02-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,19.16344086021505,93,96.875
2025-02-24,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,20.475268817204302,93,96.875
2025-02-25,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,17.268817204301076,93,96.875
2025-02-26,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.455913978494625,93,96.875
2025-02-27,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.207526881720437,93,96.875
2025-02-28,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,35.41234567901235,81,84.375
2025-03-01,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,23.264,75,78.125
2025-03-02,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.30434782608696,92,95.83333333333334
2025-03-03,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,32.778260869565216,92,95.83333333333334
2025-03-04,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,35.79871794871795,78,81.25
2025-03-05,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,34.958441558441564,77,80.20833333333334
2025-03-06,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,27.25494505494505,91,94.79166666666666
2025-03-07,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.125,76,79.16666666666666
2025-03-08,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,23.701176470588237,85,88.54166666666666
2025-03-09,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,67,69.79166666666666
2025-03-10,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,26.7,93,96.875
2025-03-11,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,31.637634408602157,93,96.875
2025-03-12,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.101075268817205,93,96.875
2025-03-13,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,24.37956989247312,93,96.875
2025-03-14,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,31.2,93,96.875
2025-03-15,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,30.212903225806453,93,96.875
2025-03-16,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.64022988505747,87,90.625
2025-03-17,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,29.942857142857147,91,94.79166666666666
2025-03-18,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,28.395604395604398,91,94.79166666666666
2025-03-19,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,64,66.66666666666666
2025-03-20,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,23.155434782608697,92,95.83333333333334
2025-03-21,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,24.60595238095238,84,87.5
2025-03-22,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,66,68.75
2025-03-23,site_199,"Bollaram Industrial Area, Hyderabad - TSPCB",HYD_0219,17.540891,78.358528,,0,0.0
