system:index,grid_id,latitude,longitude,ndvi,.geo
0000000000000000002f,HYD_0048,17.576012035403892,78.41753413684448,0.19816742182104813,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,HYD_0049,17.576134292384424,78.42694766496187,0.2334750754005296,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,HYD_0050,17.576255476864265,78.43636231729874,0.41468088865090974,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,HYD_0051,17.57637880885358,78.44577767661619,0.4540529572785101,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,HYD_0052,17.576501070969723,78.45519196144232,0.44869903392662824,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,HYD_0053,17.57662112838026,78.46460627763643,0.42008316115756944,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,HYD_0054,17.576742238610038,78.47402164446211,0.2560722984718572,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,HYD_0055,17.576862263815176,78.48343595102892,0.268826115836831,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,HYD_0056,17.57698155561611,78.49285172084367,0.2580383296981179,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,HYD_0057,17.57709970152834,78.5022663367129,0.30163873211375425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,HYD_0058,17.577219338640802,78.51168099803705,0.19593222881345995,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,HYD_0059,17.57733680967052,78.5210963889751,0.32226325963407554,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,HYD_0060,17.577455666362706,78.53051174740453,0.4159834639122228,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,HYD_0061,17.57757348250577,78.53992600922149,0.3577229168208537,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,HYD_0062,17.577689423716023,78.5493414079902,0.36511300499823196,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,HYD_0063,17.57780535424635,78.55875682661879,0.3503477503888731,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,HYD_0064,17.57792129283025,78.56817221188997,0.3702253233990734,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,HYD_0065,17.578037249137036,78.57758761692354,0.35894981327625,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,HYD_0066,17.578153180094557,78.58700300696319,0.3139731661538375,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,HYD_0067,17.578268353832513,78.59641990186236,0.3764949403485826,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,HYD_0068,17.578381339703657,78.60583451242371,0.3962878531925772,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,HYD_0069,17.565857175802567,78.33294123194425,0.2811602035460475,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,HYD_0070,17.565984256590287,78.34235441277227,0.30145122758866566,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,HYD_0071,17.56610912455833,78.35176756863382,0.28685456750998806,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,HYD_0072,17.566236224578997,78.361180744498,0.22510639363468174,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,HYD_0073,17.566488503043363,78.38000817905987,0.23942537825857219,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,HYD_0074,17.566610782355408,78.38942248684701,0.23467127571951527,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,HYD_0075,17.566733386881264,78.39883562599661,0.295128598096933,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,HYD_0076,17.566858254068503,78.40824877955703,0.32984090512307285,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,HYD_0077,17.566980894543462,78.41766194666175,0.23820107183798991,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,HYD_0078,17.567103507961328,78.42707510291777,0.27887396780880797,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,HYD_0079,17.567226491349537,78.4364893740968,0.3032325881360301,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,HYD_0080,17.56734876266658,78.44590364553699,0.26169099899529297,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,HYD_0081,17.56747102475775,78.4553179786137,0.3697442744961885,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,HYD_0082,17.5675921527289,78.46473334083542,0.31886703645385645,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,HYD_0083,17.567712215961233,78.47414762352567,0.2559505873737699,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,HYD_0084,17.567832570838934,78.48356076494143,0.2608041478551396,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,HYD_0085,17.56795108015855,78.4929750369072,0.2538371842704834,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,HYD_0086,17.56806853915573,78.50239044768749,0.28085973579200085,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,HYD_0087,17.568189292262396,78.51180472591675,0.37987061453038207,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,HYD_0088,17.56830783131908,78.52121897686234,0.33952836696434746,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,HYD_0089,17.568424535007587,78.53063362827326,0.3197919348185261,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,HYD_0090,17.568542311148146,78.54004714337353,0.335906865409823,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,HYD_0091,17.56866009500062,78.54946291052075,0.28263674323037785,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,HYD_0092,17.568775695776676,78.5588772161333,0.35213557202715734,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,HYD_0093,17.568891628486714,78.56829261289414,0.341603933124909,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,HYD_0094,17.56900755604992,78.57770799068616,0.3278011171852933,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,HYD_0095,17.569122392308543,78.58712377817756,0.3060223709415918,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,HYD_0096,17.569236077964913,78.59653842281168,0.3678952385046961,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,HYD_0097,17.569351251688452,78.60595306123679,0.4061032019326095,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,HYD_0098,17.569464262273204,78.6153684611338,0.4081923576592355,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,HYD_0099,17.569577579180667,78.62478424105198,0.4065723666395875,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,HYD_0100,17.556189880329654,78.28600920863883,0.296344096413411,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,HYD_0101,17.556318035856094,78.29542197860081,0.26861503140521753,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,HYD_0102,17.556445143590437,78.30483590891266,0.23208816027400808,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,HYD_0103,17.556573335463327,78.31424871290127,0.32885261088056106,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,HYD_0104,17.556700788481166,78.32366073429992,0.2771153298558696,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,HYD_0105,17.556827522043626,78.33307279269816,0.22447469307492773,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,HYD_0106,17.556954604521994,78.34248595391533,0.19687112348373825,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,HYD_0107,17.55708056161127,78.3518987492598,0.2322536740317819,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,HYD_0108,17.557207662160287,78.36131268513476,0.1786542259777827,"{""type"":""MultiPoint"",""coordinates"":[]}"
