system:index,elevation_m,grid_id,latitude,longitude,.geo
0000000000000000002f,615.7120183000759,HYD_0048,17.576012035403892,78.41753413684448,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,622.1565840113345,HYD_0049,17.576134292384424,78.42694766496187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,616.7994124208999,HYD_0050,17.576255476864265,78.43636231729874,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,610.5864820323177,HYD_0051,17.57637880885358,78.44577767661619,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,608.3005075972058,HYD_0052,17.576501070969723,78.45519196144232,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,599.1250929604638,HYD_0053,17.57662112838026,78.46460627763643,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,601.0710591545524,HYD_0054,17.576742238610038,78.47402164446211,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,603.6136365920916,HYD_0055,17.576862263815176,78.48343595102892,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,605.1657699583175,HYD_0056,17.57698155561611,78.49285172084367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,611.4396682254888,HYD_0057,17.57709970152834,78.5022663367129,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,604.9969250042707,HYD_0058,17.577219338640802,78.51168099803705,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,599.5950320754399,HYD_0059,17.57733680967052,78.5210963889751,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,592.2035125212711,HYD_0060,17.577455666362706,78.53051174740453,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,586.7922466074716,HYD_0061,17.57757348250577,78.53992600922149,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,581.7701769955961,HYD_0062,17.577689423716023,78.5493414079902,"{""type"":""MultiPoint"",""coordinates"":[]}"
