system:index,bare_fraction,builtup_fraction,cropland_fraction,grid_id,latitude,longitude,vegetation_fraction,water_fraction,.geo
00000000000000000000,0.01491221082208309,0.23114168740754007,0.4321607759605873,HYD_0001,17.60310185050841,78.4171491484952,0.23364250450988325,0.08814282129990349,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,0.034487197948189,0.13523035805113665,0.3416196075498486,HYD_0002,17.603224481347986,78.42656454231273,0.47685963974241447,0.01180319670841058,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,0.027615046255202478,0.14105519994670523,0.2795517281548049,HYD_0003,17.60334745656284,78.435981029435,0.5517780256432875,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,0.008696474182074782,0.08879097534715005,0.4810910210122928,HYD_0004,17.60346936131066,78.44539642811792,0.42142152945848305,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,0.031081187199079395,0.26591583136797936,0.2890683645439105,HYD_0005,17.60359047340871,78.45481181634253,0.41393461688903055,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,0.016282608938318805,0.10871990266155154,0.38800571528503824,HYD_0006,17.6037105182521,78.46422834984592,0.4794011601730948,0.007590612941995055,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,0.012325163699104765,0.1534673989985639,0.472047777733944,HYD_0007,17.6038305571507,78.47364484484892,0.32944589053280593,0.03271376903558019,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,0.03544414505612293,0.3611516360496624,0.2814891178134398,HYD_0008,17.603951674243344,78.4830602312184,0.30979173489743056,0.012123366183344756,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,0.0011385834682145447,0.2258194266153185,0.1791159234246804,HYD_0009,17.604071687934944,78.49247675129256,0.5939260664917859,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,0.026820354105508,0.13686987169798964,0.45812967787134656,HYD_0010,17.593822417779542,78.39844768082557,0.37818009632515626,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,0.043665398430105994,0.34763352863655317,0.19765658466362937,HYD_0011,17.593947660531015,78.4078619228333,0.4110444882697111,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,0.06048876016854723,0.25209213974741723,0.3438217585511076,HYD_0012,17.594071816822737,78.41727733715226,0.3406553572398864,0.0029419842930417323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,0.03491488345764342,0.03525616095197438,0.500628032466394,HYD_0013,17.5941951447282,78.42669272012233,0.42920092312398733,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,0.01363142684605261,0.03803709834712065,0.5962852538665347,HYD_0014,17.59431594378316,78.43610852026363,0.35204622094029137,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,0.015340801695487878,0.100600386068781,0.5323150285533135,HYD_0015,17.594439269077416,78.44552312307432,0.35174378368241754,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,0.0032858780931411887,0.14903647365621941,0.4550582016135002,HYD_0016,17.59456008822091,78.45493895685699,0.39261944663713866,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,0.038180516239196674,0.07375877128014735,0.359044681330935,HYD_0017,17.594681168929238,78.46435430402002,0.5290160311497213,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,0.058056291868770385,0.22315747643590994,0.3100763367867704,HYD_0018,17.59480122703116,78.47377079564716,0.40444022914431077,0.004269665764238545,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,0.0699087263342338,0.3381067833766453,0.3193614156482648,HYD_0019,17.594921637501177,78.4831862204628,0.2726230746408558,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,0.0541414036177864,0.31239546725555367,0.25935245976361393,HYD_0020,17.595042019862355,78.49260162725574,0.3741106693630454,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,0.01986178607985719,0.15201521967961432,0.31581579365472123,HYD_0021,17.59516167446683,78.50201850581078,0.5123072005858076,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,0.0027515644290252643,0.11352482286920258,0.3892323228264126,HYD_0022,17.595279102188247,78.51143310122376,0.49449128987535884,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,0.009488195568454552,0.2559156108723562,0.2749827910178419,HYD_0023,17.595398718031092,78.52084999854905,0.45961340254134886,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,0.014330470588760713,0.05706322303653386,0.25164202145793046,HYD_0024,17.59551723656233,78.53026650965616,0.6769642849167751,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,0.08174705674206154,0.06733112986650086,0.18072669755687545,HYD_0025,17.584670129910307,78.38916159718804,0.6607070367687246,0.009488079065837221,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,0.0877368401068233,0.16527231074940835,0.32222055119558246,HYD_0026,17.58479275643347,78.39857701841981,0.4247702979481861,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
