system:index,distance_to_water_m,grid_id,latitude,longitude,.geo
00000000000000000029,3945.527957717505,HYD_0042,17.58671874469317,78.5492199268524,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,3091.5386810925243,HYD_0043,17.586836514912747,78.55863569362371,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,1747.8520790391694,HYD_0044,17.5755174485385,78.37987663380144,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,2043.1108702451884,HYD_0045,17.575640820638455,78.38929202888433,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,2388.1762775139277,HYD_0046,17.575763083636765,78.39870631848574,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,1859.9150278133889,HYD_0047,17.57588792526824,78.40811948385753,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,1792.42749721201,HYD_0048,17.576012035403892,78.41753413684448,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,1492.3572549724176,HYD_0049,17.576134292384424,78.42694766496187,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,1346.2100996248387,HYD_0050,17.576255476864265,78.43636231729874,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,1707.0024899552836,HYD_0051,17.57637880885358,78.44577767661619,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,2448.885053539488,HYD_0052,17.576501070969723,78.45519196144232,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,2528.507463622288,HYD_0053,17.57662112838026,78.46460627763643,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,2106.55885482452,HYD_0054,17.576742238610038,78.47402164446211,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,2093.189809925172,HYD_0055,17.576862263815176,78.48343595102892,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,2514.639284752354,HYD_0056,17.57698155561611,78.49285172084367,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,3203.579005486951,HYD_0057,17.57709970152834,78.5022663367129,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,4025.086774432468,HYD_0058,17.577219338640802,78.51168099803705,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,3661.2410067283595,HYD_0059,17.57733680967052,78.5210963889751,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,3204.13662015371,HYD_0060,17.577455666362706,78.53051174740453,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,2995.535848080939,HYD_0061,17.57757348250577,78.53992600922149,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,3107.660980065405,HYD_0062,17.577689423716023,78.5493414079902,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,2634.2279881802733,HYD_0063,17.57780535424635,78.55875682661879,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,1710.9160255163197,HYD_0064,17.57792129283025,78.56817221188997,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,955.8555766025145,HYD_0065,17.578037249137036,78.57758761692354,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,826.1290713596292,HYD_0066,17.578153180094557,78.58700300696319,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,1485.783514039968,HYD_0067,17.578268353832513,78.59641990186236,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,2393.763343351632,HYD_0068,17.578381339703657,78.60583451242371,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,65.33294594998394,HYD_0069,17.565857175802567,78.33294123194425,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,116.1334473510857,HYD_0070,17.565984256590287,78.34235441277227,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,1069.3293527702442,HYD_0071,17.56610912455833,78.35176756863382,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,1733.4054703109655,HYD_0072,17.566236224578997,78.361180744498,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,749.87768684062,HYD_0073,17.566488503043363,78.38000817905987,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,1296.8820963324251,HYD_0074,17.566610782355408,78.38942248684701,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,1840.0394658091163,HYD_0075,17.566733386881264,78.39883562599661,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,2531.1865157851153,HYD_0076,17.566858254068503,78.40824877955703,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,1728.5244139626097,HYD_0077,17.566980894543462,78.41766194666175,"{""type"":""MultiPoint"",""coordinates"":[]}"
